provider_id,provider_name,provider_slug,provider_type,website_url,country,official_api_available,sitemap_available,scraping_allowed,certificate_supported,badge_supported,free_courses_available,paid_courses_available,trust_score,priority_level,notes,created_at,updated_at
nptel,NPTEL,nptel,Indian Platform,https://nptel.ac.in,India,true,false,true,true,false,true,false,85,high,Public API. Free cert from IITs.,2026-05-29 06:15:10,2026-05-29 06:15:10
microsoft_learn,Microsoft Learn,microsoft-learn,Cloud Vendor,https://learn.microsoft.com,United States,true,false,true,true,true,true,true,90,high,Public catalog API.,2026-05-29 06:15:10,2026-05-29 06:15:10
mit_ocw,MIT OpenCourseWare,mit-ocw,University,https://ocw.mit.edu,United States,false,true,true,false,false,true,false,95,high,CC-licensed. Sitemap with 2574 courses.,2026-05-29 06:15:10,2026-05-29 06:15:10
freecodecamp,freeCodeCamp,freecodecamp,Developer Platform,https://www.freecodecamp.org,United States,true,false,true,true,true,true,false,88,high,Open source. Public GraphQL API.,2026-05-29 06:15:10,2026-05-29 06:15:10
forage,Forage,forage,Career Platform,https://www.theforage.com,Australia,false,true,true,true,false,true,false,80,medium,~296 virtual job simulations via Next.js RSC payload.,2026-05-29 06:15:10,2026-05-29 06:15:10
datacamp,DataCamp,datacamp,Developer Platform,https://www.datacamp.com,United States,true,true,true,true,true,true,true,85,high,Public sitemap + Catalog API for ~700 courses.,2026-05-29 06:15:10,2026-05-29 06:15:10
meta_coursera,Meta (via Coursera),meta-coursera,Corporate,https://www.coursera.org/partners/meta,United States,true,false,true,true,false,false,true,92,high,"~136 courses, 9 Professional Certificates via Coursera public API.",2026-05-29 06:15:10,2026-05-29 06:15:10
tata_strive,Tata STRIVE,tata-strive,Corporate,https://tatastrive.com,India,false,false,true,true,false,true,false,75,medium,~25-30 job-oriented skills courses via static HTML scrape.,2026-05-29 06:15:10,2026-05-29 06:15:10
tcs_ion,TCS iON,tcs-ion,Corporate,https://www.tcsion.com,India,false,true,true,true,false,true,true,78,medium,"~200 courses across Career Edge, Industry Honour, and vocational via sitemap.",2026-05-29 06:15:10,2026-05-29 06:15:10
great_learning,Great Learning,great-learning,Developer Platform,https://www.mygreatlearning.com,India,false,true,true,true,false,true,true,80,high,~965 free courses from academy sitemap.,2026-05-29 06:15:10,2026-05-29 06:15:10
simplilearn,Simplilearn,simplilearn,Developer Platform,https://www.simplilearn.com,India,false,true,true,true,false,true,true,78,medium,~214 professional certification courses from sitemap.,2026-05-29 06:15:10,2026-05-29 06:15:10
upgrad,UpGrad,upgrad,Developer Platform,https://www.upgrad.com,India,false,true,true,true,false,true,true,76,medium,~33 courses from sitemap filtering.,2026-05-29 06:15:10,2026-05-29 06:15:10
trailhead,Salesforce Trailhead,trailhead,Cloud Vendor,https://trailhead.salesforce.com,United States,false,true,true,true,true,true,false,85,high,~8000+ modules/projects/trails from content sitemap.,2026-05-29 06:15:10,2026-05-29 06:15:10
