raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
deeplearning_ai_000136b4,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,A2A The Agent2Agent Protocol,https://www.deeplearning.ai/courses/a2a-the-agent2agent-protocol,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/a2a-the-agent2agent-protocol""}",2026-05-23 14:59:26,active,
deeplearning_ai_0024c276,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,Advanced Retrieval For Ai,https://www.deeplearning.ai/courses/advanced-retrieval-for-ai,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/advanced-retrieval-for-ai""}",2026-05-23 14:59:26,active,
deeplearning_ai_0083fa3a,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,Agent Memory Building Memory Aware Agents,https://www.deeplearning.ai/courses/agent-memory-building-memory-aware-agents,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/agent-memory-building-memory-aware-agents""}",2026-05-23 14:59:26,active,
deeplearning_ai_0080fdd5,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,Agent Skills With Anthropic,https://www.deeplearning.ai/courses/agent-skills-with-anthropic,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/agent-skills-with-anthropic""}",2026-05-23 14:59:26,active,
deeplearning_ai_002aa8e2,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,Agentic Ai,https://www.deeplearning.ai/courses/agentic-ai,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/agentic-ai""}",2026-05-23 14:59:26,active,
deeplearning_ai_00246c27,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,Agentic Knowledge Graph Construction,https://www.deeplearning.ai/courses/agentic-knowledge-graph-construction,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/agentic-knowledge-graph-construction""}",2026-05-23 14:59:26,active,
deeplearning_ai_008a5991,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,Ai Agentic Design Patterns With Autogen,https://www.deeplearning.ai/courses/ai-agentic-design-patterns-with-autogen,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/ai-agentic-design-patterns-with-autogen""}",2026-05-23 14:59:26,active,
deeplearning_ai_000aa530,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,Ai Agents For Image And Video Generation,https://www.deeplearning.ai/courses/ai-agents-for-image-and-video-generation,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/ai-agents-for-image-and-video-generation""}",2026-05-23 14:59:26,active,
deeplearning_ai_008e5827,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,Ai Agents In Langgraph,https://www.deeplearning.ai/courses/ai-agents-in-langgraph,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/ai-agents-in-langgraph""}",2026-05-23 14:59:26,active,
deeplearning_ai_004ab517,deeplearning_ai,DeepLearning.AI,https://www.deeplearning.ai/sitemap.xml,Ai For Everyone,https://www.deeplearning.ai/courses/ai-for-everyone,,AI & ML,,DeepLearning.AI;AI;Machine Learning;Deep Learning,,intermediate,English,,,paid,,,,,,"{""url"": ""https://www.deeplearning.ai/courses/ai-for-everyone""}",2026-05-23 14:59:26,active,
